python;webdesign;linux;networking;english;class;graduate
91.66666667;65;83;87.6;71.99999809;E;Y
25;10;35;50;45;A;N
0;0;14.5;32.1;16.49999976;E;N
95.83333333;88.33333333;84.66000366;80.1;81.99999809;B;Y
25;35;38.65999985;75;51;A;N
100;76.66666667;86;74.77;78.00000191;C;Y
72.91666667;70.83333333;79.33999634;79.03;81.99999809;B;Y
79.16666667;83.33333333;74.66000366;70.9;83.50000381;H;Y
20.83333333;54.16666667;55.65999985;46.73;55.99999905;F;N
25;92.5;63;20;35;H;N
16.66666667;24.16666667;44.5;43.7;35.49999952;H;N
37.5;45;65.16000366;65;43.49999905;E;N
87.5;95.83333333;77.66000366;67.77;52.5;F;Y
77.08333333;74.16666667;61.34000015;55.77;44.49999809;B;Y
0;0;23;63;0;F;N
58.33333333;80;74.66000366;66.7;74.49999809;C;Y
50;94.16666667;77.33999634;73.1;65;A;Y
45.83333333;76.66666667;71.33999634;68.83;80.50000191;F;Y
20.83333333;35;51;33.7;56.50000095;D;N
89.58333333;99.16666667;77.33999634;73.03;70.50000191;A;Y
95.83333333;52.5;83.33999634;63.4;70.90000153;B;Y
77.08333333;85;84;79.03;83.50000381;B;Y
0;60;53.65999985;55.87;58.00000191;H;N
70.83333333;88.33333333;77;55.77;33.49999905;D;Y
45.83333333;53.33333333;66;57.3;46.99999809;A;N
16.66666667;70.83333333;47.34000015;64.1;64.49999809;B;N
37.5;64.16666667;63.34000015;69.37;63.49999905;B;Y
97.91666667;90.83333333;82;82.6;45;E;Y
100;64.16666667;67;73.03;64.49999809;A;Y
27.08333333;57.5;50.65999985;53;35;F;N
91.66666667;94.16666667;80;73.97;62.5;H;Y
72.91666667;53.33333333;80.66000366;64.3;75;A;N
58.33333333;47.5;66.66000366;50.63;58.00000191;A;Y
72.91666667;81.66666667;86;80.5;81.49999619;C;Y
18.75;53.33333333;68;63.7;74.49999809;F;N
100;70;72;68.5;55.99999905;G;Y
93.75;91.66666667;86;87.1;80;G;Y
27.08333333;63.33333333;69;52.7;32;D;N
58.33333333;61.66666667;70;79.7;78.00000191;G;Y
52.08333333;77.5;78;76.1;63.49999905;F;Y
79.16666667;66.66666667;47.15999985;59.5;68.00000191;G;N
35.41666667;26.66666667;64.66000366;86.1;75.99999905;G;N
18.75;70.83333333;55;85.1;57.5;D;Y
50;93.33333333;78.5;79.1;51.99999809;D;Y
58.33333333;68.33333333;76;53.27;63.49999905;B;Y
87.5;90;76;74.23;76.99999809;A;Y
37.5;68.33333333;78;68.73;84.49999809;B;Y
93.75;63.33333333;86.66000366;84.7;69.00000095;G;Y
20.83333333;69.16666667;46.65999985;47.47;50;H;N
93.75;63.33333333;70;62.37;58.00000191;B;Y
25;18.33333333;63.65999985;45.3;60.99999905;C;N
41.66666667;55.83333333;73.33999634;60.63;64.49999809;F;Y
16.66666667;45;47;61.77;65.50000191;E;N
27.08333333;39.16666667;61;52.3;58.00000191;E;N
60.41666667;0;64;65.3;76.99999809;F;N
95.83333333;61.66666667;62.65999985;66.37;74.49999809;B;Y
8.333333333;54.16666667;51.65999985;56.03;44.49999809;E;Y
0;0;23;10;0;F;N
91.66666667;57.5;54.34000015;61.1;74.49999809;E;Y
10.41666667;50.83333333;57;64.43;35.49999952;E;Y
70.83333333;50.83333333;71.33999634;73.6;72.5;E;Y
100;99.16666667;98;94.77;82.5;D;Y
29.16666667;85;64.66000366;47.57;10;C;N
5.000000199;55.83333333;54;46.97;51.99999809;E;N
83.33333333;90.83333333;86;86.27;71.99999809;E;Y
5.000000199;11.66666667;73;44.63;56;B;N
8.333333333;46.66666667;59.34000015;46.7;63;H;N
70.83333333;65;72.66000366;69.37;74.49999809;C;Y
91.66666667;43.33333333;67;88.1;63.49999905;G;Y
55;92.5;89.66000366;88.6;80.50000191;A;Y
52.08333333;45;62.34000015;23;65;G;N
0;21;63;23;0;G;N
12.5;38.33333333;57.84000015;55.27;0;B;N
50;63.33333333;70.33999634;46.37;71.50000095;F;Y
79.16666667;81.66666667;77.66000366;45;58.00000191;H;Y
39.58333333;50;23;63;12;G;N
0.833333346;16.66666667;38.34000015;21.53;48.00000191;E;N
75;12;42;49.3;42.5;C;N
5.000000199;39.16666667;45.65999985;32;63;B;N
0;53.33333333;61.65999985;64.87;69.00000095;G;N
45.83333333;76.66666667;77;59.9;44.49999809;D;Y
87.5;76.66666667;69;74.3;70.50000191;C;Y
37.5;74.16666667;42.34000015;38.37;57.5;H;N
72.91666667;65;83;86.6;40;G;Y
0;0;63;12;0;F;N
83.33333333;41.66666667;46.65999985;44.03;80;A;N
50;44.16666667;12;63;70;A;N
85.41666667;67.5;81.66000366;62.8;66.50000095;H;Y
100;94.16666667;82;77.1;57.5;E;Y
63;43.33333333;23;14;36;C;N
50;75;66;46.7;69.00000095;D;Y
41.66666667;71.66666667;68;47.53;52.5;G;N
22.91666667;40.83333333;46.65999985;51.37;0;B;N
21.66666587;10;44;33.1;32;G;N
66.66666667;71.66666667;62.34000015;65;78;F;Y
54.16666667;57.5;63.65999985;50.7;73.49999905;A;Y
54.16666667;85;63.65999985;49.7;30;D;Y
50;82.5;72.5;63.97;53.49999905;F;Y
18.75;58.33333333;60.5;53.1;40;H;N
16.66666667;29.16666667;49.15999985;38.2;26.50000095;D;N
91.66666667;87.5;87;81.6;60.50000191;F;Y
77.08333333;84.16666667;81.66000366;83.1;79.00000095;D;Y
72.91666667;91.66666667;82;79.1;77.5;D;Y
87.5;93.33333333;82;72.03;78.00000191;F;Y
29.16666667;55;49.15999985;23;61;F;N
18.75;8.333333333;50.15999985;41.47;43.49999905;C;N
97.91666667;92.5;88;93.1;58.00000191;E;Y
8.333333333;6.666666667;40.65999985;22.03;53.49999905;D;N
95.83333333;51.66666667;59.34000015;52.37;69.00000095;C;N
18.75;77.5;67.16000366;67.7;61.99999809;H;Y
33.33333333;25;65.66000366;52.77;83.50000381;C;N
25;58.33333333;45;48.27;71.99999809;E;Y
35.41666667;59.16666667;77.66000366;53.63;47.5;H;N
8.333333333;3.333333333;37.84000015;28.9;30.99999905;C;N
0;10.83333333;37.34000015;52;0;B;N
84.58333015;93.33333333;92.33999634;79.23;68.00000191;H;Y
95.83333333;67.5;75.33999634;81.93;0;B;N
33.33333333;49.16666667;63;72.43;58.00000191;A;N
95.83333333;55;54;68.43;52.5;G;Y
0;0;52.34000015;51.53;71.50000095;A;N
54.16666667;53.33333333;70;83.1;83.50000381;G;Y
18.75;31.66666667;62.65999985;56.1;81.49999619;C;Y
37.5;40;79;56.33;42;G;N
72.91666667;61.66666667;69;53.03;76.50000095;D;Y
39.58333333;64.16666667;71.66000366;59.63;56.50000095;D;N
70.83333333;60;63.34000015;62.77;0;B;Y
58.33333333;50;44;46.7;65.50000191;H;N
93.75;91.66666667;78;79.43;80;A;Y
83.33333333;100;86.66000366;78.1;62;C;Y
70.83333333;80;77;68.7;77.5;C;Y
54.16666667;68.33333333;61.15999985;36.57;33.49999905;H;N
77.08333333;88.33333333;69;88.1;0;B;Y
95.83333333;81.66666667;65.66000366;71.43;72.5;E;Y
8.333333333;50;74;46.37;70;C;N
33.33333333;50.83333333;48;58.8;30;H;N
5.000000199;6.666666667;43.84000015;44.03;58.00000191;E;N
91.66666667;72.5;69;67.43;64.49999809;D;Y
23.74999921;49.16666667;47.15999985;54.7;60.50000191;F;N
87.5;93.33333333;82.66000366;53;76.50000095;D;Y
100;93.33333333;83.66000366;75.9;72.5;G;Y
27.08333333;10;42.65999985;36.3;35.49999952;C;N
83.33333333;80.83333333;63.34000015;64.1;61.50000095;A;Y
35.41666667;58.33333333;68;54.37;72.5;F;N
100;83.33333333;78;68.7;75;A;Y
43.75;12;32;63;42;D;N
77.08333333;85;63;53.27;34.50000048;H;N
43.75;43.33333333;63;61.97;0;C;N
8.333333333;19.16666667;46.84000015;43.97;47.5;H;N
87.5;56.66666667;54.34000015;59.43;64.49999809;E;N
43.75;64.16666667;53;36.03;27.99999952;H;Y
47.91666667;48.33333333;60.5;69.7;71.50000095;C;N
45.83333333;28.33333333;46;30.37;50;C;N
18.75;60.83333333;65;57.1;60;A;Y
50;77.5;67.33999634;62.77;85.50000191;E;N
91.66666667;75;80;89.77;83.50000381;E;Y
79.16666667;71.66666667;50.65999985;48.03;80;E;Y
0.833333346;20;24.84000015;32.97;22.5;H;N
87.5;95;91;77.1;75.50000191;H;Y
39.58333333;50;57.65999985;49.1;72.5;D;N
70.83333333;61.66666667;44.65999985;68.97;65;G;Y
29.16666667;41.66666667;42;50;61;C;N
83.33333333;85;72;55.9;69.00000095;H;Y
91.66666667;53.33333333;57;47.27;76.50000095;D;N
87.5;65;63.34000015;68.7;87.5;C;Y
16.66666667;6.666666667;48.34000015;33.93;78.00000191;G;N
47.91666667;50.83333333;74.33999634;44.43;66.99999809;F;N
62.5;81.66666667;71.66000366;75.7;44.49999809;A;Y
10.41666667;62.5;51.5;44.23;57.5;D;N
50;50;64.33999634;76.1;62.5;G;Y
50;61.66666667;58.65999985;49.03;42.5;G;N
16.66666667;50;69;55.97;66.50000095;C;N
12;78.33333333;52;32;0;C;N
9.166666865;30.83333333;51;42.2;66.50000095;E;N
62.5;47.5;57;55.97;0;B;Y
95.83333333;53.33333333;65.33999634;57.03;0;B;Y
95.83333333;61.66666667;48;77.6;60.50000191;G;Y
20.83333333;61.66666667;55;36.63;66.99999809;F;N
52.08333333;80;69.33999634;51.53;65;F;N
37.5;65;67.66000366;81.1;76.99999809;G;N
79.16666667;91.66666667;62.65999985;71.77;65;A;Y
89.58333333;65.83333333;78.5;53;59.00000095;D;Y
83.33333333;91.66666667;79;72.83;0;C;Y
95.83333333;61.66666667;87;81.6;61.99999809;C;Y
93.75;71.66666667;76;79.2;72.5;A;Y
22.91666667;78.33333333;63.15999985;61.87;42.5;D;N
58.33333333;60.83333333;43.15999985;35.23;59.00000095;F;N
58.33333333;38.33333333;69.33999634;63.43;62.5;G;N
66.66666667;72.5;62.5;49.03;70;H;Y
60.41666667;55;59.65999985;56.5;61.50000095;G;N
29.16666667;48.33333333;64.33999634;43.37;58.00000191;E;Y
79.16666667;59.16666667;67.33999634;70.07;0;B;Y
60.41666667;56.66666667;82.66000366;81.7;72.5;A;Y
87.5;94.16666667;90;87.43;65.99999905;A;Y
6.25;26.66666667;34;30.37;50.99999905;E;N
50;79.16666667;68;67.2;0;B;N
79.16666667;61.66666667;63.34000015;64.37;0;B;N
16.66666667;63.33333333;64.16000366;44.3;64.49999809;H;N
60.41666667;90.83333333;74;80.43;63.49999905;D;Y
79.16666667;95;87.33999634;64.77;50.50000191;F;Y
20.83333333;35;51;60.43;45.50000191;E;N
9.166666865;43.33333333;55;39.37;59.00000095;E;N
62.5;80;45;71.77;67.5;E;Y
0;18.33333333;46.34000015;36.63;0;C;N
45.83333333;55.83333333;63.65999985;74.93;0;B;N
6.25;46.66666667;23;63;60.50000191;A;N
31.25;74.16666667;67;51.57;68.00000191;D;N
39.58333333;13.33333333;63.34000015;56.7;76.50000095;C;N
47.91666667;60.83333333;62.34000015;64.1;53.49999905;F;N
66.66666667;77.5;80;70.1;63.49999905;E;Y
4.166666667;21.66666667;35.34000015;47.2;0;E;N
79.16666667;70;72;56.03;60;A;Y
31.25;58.33333333;32;63;56.50000095;D;N
58.33333333;79.16666667;65.66000366;46.4;49.00000095;H;N
45.83333333;57.5;67.33999634;47.37;61.50000095;A;N
68.75;65;75.33999634;85.2;0;B;Y
62.5;75;80;65.97;0;B;Y
97.91666667;44.16666667;66.33999634;73.03;0;B;Y
33.33333333;58.33333333;52.34000015;45;41.99999809;E;N
87.5;51.66666667;46.65999985;44.43;60.99999905;C;Y
91.66666667;85.83333333;82;51.3;68.00000191;F;Y
16.66666667;55.83333333;61.84000015;40.37;60.50000191;F;N
72.91666667;45;73;85.17;50.50000191;G;N
